movieCd,movieNm,movieNmEn,movieNmOg,watchGradeNm,openDt,showTm,genreNm,peopleNm,companyNm
20184574,그린 북,Green Book,,12세이상관람가,20190109,130,,피터 패럴리,CGV아트하우스
20186281,범블비,Bumblebee,,12세이상관람가,20181225,113,,트래비스 나이트,롯데컬처웍스(주)롯데엔터테인먼트
20170658,PMC: 더 벙커,Take Point,,15세이상관람가,20181226,124,,김병우,(주)퍼펙트스톰필름
20175547,스윙키즈,Swing Kids,,12세이상관람가,20181219,133,,강형철,(주)안나푸르나필름
20180290,아쿠아맨,AQUAMAN,,12세이상관람가,20181219,143,,제임스 완,워너브러더스 코리아(주)
20189463,주먹왕 랄프 2: 인터넷 속으로,Ralph Breaks the Internet,,전체관람가,20190103,112,,리치 무어,월트디즈니컴퍼니코리아 유한책임회사
20170658,PMC: 더 벙커,Take Point,,15세이상관람가,20181226,124,,김병우,(주)퍼펙트스톰필름
20185485,보헤미안 랩소디,Bohemian Rhapsody,,12세이상관람가,20181031,134,,브라이언 싱어,이십세기폭스코리아(주)
20186281,범블비,Bumblebee,,12세이상관람가,20181225,113,,트래비스 나이트,롯데컬처웍스(주)롯데엔터테인먼트
20175547,스윙키즈,Swing Kids,,12세이상관람가,20181219,133,,강형철,(주)안나푸르나필름
20183785,점박이 한반도의 공룡2 : 새로운 낙원,,,전체관람가,20181225,93,,한상호,(주)드림써치C&C
20184187,언니,No Mercy,,청소년관람불가,20190101,93,,임경택,필름에이픽쳐스
20184105,말모이,MAL·MO·E: The Secret Mission,,12세이상관람가,20190109,135,,엄유나,더램프(주)
20182421,그린치,The Grinch,,전체관람가,20181219,89,,스콧 모시어,유니버설픽쳐스인터내셔널 코리아(유)
20180290,아쿠아맨,AQUAMAN,,12세이상관람가,20181219,143,,제임스 완,워너브러더스 코리아(주)
20186281,범블비,Bumblebee,,12세이상관람가,20181225,113,,트래비스 나이트,롯데컬처웍스(주)롯데엔터테인먼트
20170658,PMC: 더 벙커,Take Point,,15세이상관람가,20181226,124,,김병우,(주)퍼펙트스톰필름
20185485,보헤미안 랩소디,Bohemian Rhapsody,,12세이상관람가,20181031,134,,브라이언 싱어,이십세기폭스코리아(주)
20168773,마약왕,The Drug King,,청소년관람불가,20181219,139,,우민호,(주)하이브미디어코프
20175547,스윙키즈,Swing Kids,,12세이상관람가,20181219,133,,강형철,(주)안나푸르나필름
20183785,점박이 한반도의 공룡2 : 새로운 낙원,,,전체관람가,20181225,93,,한상호,(주)드림써치C&C
20182421,그린치,The Grinch,,전체관람가,20181219,89,,스콧 모시어,유니버설픽쳐스인터내셔널 코리아(유)
20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,Crayon Shin-chan: Burst Serving! Kung Fu Boys - Ramen Rebellion,,전체관람가,20181219,103,,타카하시 와타루,씨제이이앤엠(주)
20183238,스파이더맨: 뉴 유니버스,Spider-Man: Into the Spider-Verse,,12세이상관람가,20181212,116,,밥 퍼시케티,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
20180290,아쿠아맨,AQUAMAN,,12세이상관람가,20181219,143,,제임스 완,워너브러더스 코리아(주)
20168773,마약왕,The Drug King,,청소년관람불가,20181219,139,,우민호,(주)하이브미디어코프
20175547,스윙키즈,Swing Kids,,12세이상관람가,20181219,133,,강형철,(주)안나푸르나필름
20185485,보헤미안 랩소디,Bohemian Rhapsody,,12세이상관람가,20181031,134,,브라이언 싱어,이십세기폭스코리아(주)
20182421,그린치,The Grinch,,전체관람가,20181219,89,,스콧 모시어,유니버설픽쳐스인터내셔널 코리아(유)
20177552,국가부도의 날,Default,,12세이상관람가,20181128,114,,최국희,영화사 집
20183238,스파이더맨: 뉴 유니버스,Spider-Man: Into the Spider-Verse,,12세이상관람가,20181212,116,,밥 퍼시케티,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
20179230,도어락,Door Lock,,15세이상관람가,20181205,102,,이권,(주)영화사피어나
20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,Crayon Shin-chan: Burst Serving! Kung Fu Boys - Ramen Rebellion,,전체관람가,20181219,103,,타카하시 와타루,씨제이이앤엠(주)
20183375,극장판 포켓몬스터 모두의 이야기,Pokemon the Movie: The Power of Us,劇場版ポケットモンスター みんなの物語,전체관람가,20181219,98,,야지마 테츠오,(주)이수C&E
20185485,보헤미안 랩소디,Bohemian Rhapsody,,12세이상관람가,20181031,134,,브라이언 싱어,이십세기폭스코리아(주)
20177552,국가부도의 날,Default,,12세이상관람가,20181128,114,,최국희,영화사 집
20179230,도어락,Door Lock,,15세이상관람가,20181205,102,,이권,(주)영화사피어나
20183238,스파이더맨: 뉴 유니버스,Spider-Man: Into the Spider-Verse,,12세이상관람가,20181212,116,,밥 퍼시케티,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
20189843,호두까기 인형과 4개의 왕국,The Nutcracker and the Four Realms,,전체관람가,20181206,99,,라세 할스트롬,월트디즈니컴퍼니코리아 유한책임회사
20182082,부탁 하나만 들어줘,A Simple Favor,,청소년관람불가,20181212,116,,폴 페이그,(주)팝엔터테인먼트
20175547,스윙키즈,Swing Kids,,12세이상관람가,20181219,133,,강형철,(주)안나푸르나필름
20178825,모털 엔진,Mortal Engines,,12세이상관람가,20181205,128,,크리스찬 리버스,유니버설픽쳐스인터내셔널 코리아(유)
20183745,런닝맨 : 풀룰루의 역습,Running Man,,전체관람가,20181205,66,,윤준상,(주)로커스
20177538,완벽한 타인,Intimate Strangers,,15세이상관람가,20181031,115,,이재규,(주)필름몬스터
20177552,국가부도의 날,Default,,12세이상관람가,20181128,114,,최국희,영화사 집
20185485,보헤미안 랩소디,Bohemian Rhapsody,,12세이상관람가,20181031,134,,브라이언 싱어,이십세기폭스코리아(주)
20179230,도어락,Door Lock,,15세이상관람가,20181205,102,,이권,(주)영화사피어나
20189843,호두까기 인형과 4개의 왕국,The Nutcracker and the Four Realms,,전체관람가,20181206,99,,라세 할스트롬,월트디즈니컴퍼니코리아 유한책임회사
20178825,모털 엔진,Mortal Engines,,12세이상관람가,20181205,128,,크리스찬 리버스,유니버설픽쳐스인터내셔널 코리아(유)
20183745,런닝맨 : 풀룰루의 역습,Running Man,,전체관람가,20181205,66,,윤준상,(주)로커스
20184481,성난황소,Unstoppable,,15세이상관람가,20181122,115,,김민호,주식회사 플러스미디어엔터테인먼트
20177538,완벽한 타인,Intimate Strangers,,15세이상관람가,20181031,115,,이재규,(주)필름몬스터
20181905,후드,Robin Hood,,12세이상관람가,20181128,116,,오토 바서스트,(주)이수C&E
20176814,신비한 동물들과 그린델왈드의 범죄,Fantastic Beasts: The Crimes of Grindelwald,FANTASTIC BEASTS THE CRIMES OF GRINDELWALD,12세이상관람가,20181114,133,,데이빗 예이츠,워너브러더스 코리아(주)
20177552,국가부도의 날,Default,,12세이상관람가,20181128,114,,최국희,영화사 집
20185485,보헤미안 랩소디,Bohemian Rhapsody,,12세이상관람가,20181031,134,,브라이언 싱어,이십세기폭스코리아(주)
20184481,성난황소,Unstoppable,,15세이상관람가,20181122,115,,김민호,주식회사 플러스미디어엔터테인먼트
20177538,완벽한 타인,Intimate Strangers,,15세이상관람가,20181031,115,,이재규,(주)필름몬스터
20181905,후드,Robin Hood,,12세이상관람가,20181128,116,,오토 바서스트,(주)이수C&E
20176814,신비한 동물들과 그린델왈드의 범죄,Fantastic Beasts: The Crimes of Grindelwald,FANTASTIC BEASTS THE CRIMES OF GRINDELWALD,12세이상관람가,20181114,133,,데이빗 예이츠,워너브러더스 코리아(주)
20183073,베일리 어게인,A Dog's Purpose,,전체관람가,20181122,100,,라세 할스트롬,(주)홈초이스
20181171,바울,"Paul, Apostle Of Christ",,15세이상관람가,20181031,107,,앤드류 하얏트,(재)CBS
20183007,거미줄에 걸린 소녀,THE GIRL IN THE SPIDER’S WEB,,15세이상관람가,20181128,115,,페드 알바레즈,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
20182966,투 프렌즈,TWO TAILS,,전체관람가,20181129,74,,빅터 아즈에프,(주)박수엔터테인먼트
20185485,보헤미안 랩소디,Bohemian Rhapsody,,12세이상관람가,20181031,134,,브라이언 싱어,이십세기폭스코리아(주)
20184481,성난황소,Unstoppable,,15세이상관람가,20181122,115,,김민호,주식회사 플러스미디어엔터테인먼트
20176814,신비한 동물들과 그린델왈드의 범죄,Fantastic Beasts: The Crimes of Grindelwald,FANTASTIC BEASTS THE CRIMES OF GRINDELWALD,12세이상관람가,20181114,133,,데이빗 예이츠,워너브러더스 코리아(주)
20177538,완벽한 타인,Intimate Strangers,,15세이상관람가,20181031,115,,이재규,(주)필름몬스터
20183050,번 더 스테이지: 더 무비,Burn the Stage: the Movie,,전체관람가,20181115,82,,박준수,빅히트 엔터테인먼트
20183073,베일리 어게인,A Dog's Purpose,,전체관람가,20181122,100,,라세 할스트롬,(주)홈초이스
20181171,바울,"Paul, Apostle Of Christ",,15세이상관람가,20181031,107,,앤드류 하얏트,(재)CBS
20182935,출국,Unfinished,,15세이상관람가,20181114,104,,노규엽,주식회사 디에스이이디
20182669,툴리,TULLY,,15세이상관람가,20181122,95,,제이슨 라이트맨,(주)리틀빅픽쳐스
20186822,너의 췌장을 먹고 싶어,I want to eat your pancreas,君の膵臓をたべたい,12세이상관람가,20181115,109,,우시지마 신이치로,(주)넥스트엔터테인먼트월드(NEW)
20176814,신비한 동물들과 그린델왈드의 범죄,Fantastic Beasts: The Crimes of Grindelwald,FANTASTIC BEASTS THE CRIMES OF GRINDELWALD,12세이상관람가,20181114,133,,데이빗 예이츠,워너브러더스 코리아(주)
20185485,보헤미안 랩소디,Bohemian Rhapsody,,12세이상관람가,20181031,134,,브라이언 싱어,이십세기폭스코리아(주)
20177538,완벽한 타인,Intimate Strangers,,15세이상관람가,20181031,115,,이재규,(주)필름몬스터
20183050,번 더 스테이지: 더 무비,Burn the Stage: the Movie,,전체관람가,20181115,82,,박준수,빅히트 엔터테인먼트
20170513,동네사람들,Ordinary People,,15세이상관람가,20181107,99,,임진순,(주)데이드림
20184481,성난황소,Unstoppable,,15세이상관람가,20181122,115,,김민호,주식회사 플러스미디어엔터테인먼트
20181171,바울,"Paul, Apostle Of Christ",,15세이상관람가,20181031,107,,앤드류 하얏트,(재)CBS
20182935,출국,Unfinished,,15세이상관람가,20181114,104,,노규엽,주식회사 디에스이이디
20186822,너의 췌장을 먹고 싶어,I want to eat your pancreas,君の膵臓をたべたい,12세이상관람가,20181115,109,,우시지마 신이치로,(주)넥스트엔터테인먼트월드(NEW)
20189869,해피 투게더,Happy Together,,12세이상관람가,20181115,110,,김정환,(주)골든스토리픽처스
20177538,완벽한 타인,Intimate Strangers,,15세이상관람가,20181031,115,,이재규,(주)필름몬스터
20185485,보헤미안 랩소디,Bohemian Rhapsody,,12세이상관람가,20181031,134,,브라이언 싱어,이십세기폭스코리아(주)
20170513,동네사람들,Ordinary People,,15세이상관람가,20181107,99,,임진순,(주)데이드림
20181171,바울,"Paul, Apostle Of Christ",,15세이상관람가,20181031,107,,앤드류 하얏트,(재)CBS
20174981,창궐,Rampant,,15세이상관람가,20181025,121,,김성훈,리양필름(주)
20010291,해리포터와 마법사의 돌,Harry Potter And The Socrerers Stone,,전체관람가,20011213,152,,크리스 콜럼버스,워너브러더스 코리아(주)
20179006,여곡성,The Wrath,,15세이상관람가,20181108,94,,유영선,(주)발자국 공장
20181404,벽 속에 숨은 마법시계,The house with a clock in its walls,,전체관람가,20181031,105,,일라이 로스,CGV아트하우스
20180523,스타 이즈 본,A Star Is Born,,15세이상관람가,20181009,135,,브래들리 쿠퍼,워너브러더스 코리아(주)
20182693,구스범스: 몬스터의 역습,Goosebumps 2: Haunted Halloween,,12세이상관람가,20181107,89,,아리 산델,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
20177538,완벽한 타인,Intimate Strangers,,15세이상관람가,20181031,115,,이재규,(주)필름몬스터
20185485,보헤미안 랩소디,Bohemian Rhapsody,,12세이상관람가,20181031,134,,브라이언 싱어,이십세기폭스코리아(주)
20174981,창궐,Rampant,,15세이상관람가,20181025,121,,김성훈,리양필름(주)
20181404,벽 속에 숨은 마법시계,The house with a clock in its walls,,전체관람가,20181031,105,,일라이 로스,CGV아트하우스
20010291,해리포터와 마법사의 돌,Harry Potter And The Socrerers Stone,,전체관람가,20011213,152,,크리스 콜럼버스,워너브러더스 코리아(주)
20180987,할로윈,Halloween,,청소년관람불가,20181031,105,,데이빗 고든 그린,유니버설픽쳐스인터내셔널 코리아(유)
20179189,암수살인,Dark Figure of Crime,暗數殺人,15세이상관람가,20181003,109,,김태균,(주)필름295
20189067,미쓰백,Miss Baek,,15세이상관람가,20181011,97,,이지원,영화사 배
20180523,스타 이즈 본,A Star Is Born,,15세이상관람가,20181009,135,,브래들리 쿠퍼,워너브러더스 코리아(주)
20182403,크레이지 리치 아시안,Crazy Rich Asians,,12세이상관람가,20181025,120,,존 추,워너브러더스 코리아(주)
20174981,창궐,Rampant,,15세이상관람가,20181025,121,,김성훈,리양필름(주)
20179189,암수살인,Dark Figure of Crime,暗數殺人,15세이상관람가,20181003,109,,김태균,(주)필름295
20186321,퍼스트맨,First Man,,12세이상관람가,20181018,141,,데이미언 셔젤,유니버설픽쳐스인터내셔널 코리아(유)
20189067,미쓰백,Miss Baek,,15세이상관람가,20181011,97,,이지원,영화사 배
20177221,베놈,Venom,,15세이상관람가,20181003,107,,루벤 플레셔,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
20182403,크레이지 리치 아시안,Crazy Rich Asians,,12세이상관람가,20181025,120,,존 추,워너브러더스 코리아(주)
20010291,해리포터와 마법사의 돌,Harry Potter And The Socrerers Stone,,전체관람가,20011213,152,,크리스 콜럼버스,워너브러더스 코리아(주)
20180523,스타 이즈 본,A Star Is Born,,15세이상관람가,20181009,135,,브래들리 쿠퍼,워너브러더스 코리아(주)
20177538,완벽한 타인,Intimate Strangers,,15세이상관람가,20181031,115,,이재규,(주)필름몬스터
20189123,곰돌이 푸 다시 만나 행복해,Christopher Robin,,전체관람가,20181003,103,,마크 포스터,월트디즈니컴퍼니코리아 유한책임회사
20179189,암수살인,Dark Figure of Crime,暗數殺人,15세이상관람가,20181003,109,,김태균,(주)필름295
20177221,베놈,Venom,,15세이상관람가,20181003,107,,루벤 플레셔,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
20186321,퍼스트맨,First Man,,12세이상관람가,20181018,141,,데이미언 셔젤,유니버설픽쳐스인터내셔널 코리아(유)
20189067,미쓰백,Miss Baek,,15세이상관람가,20181011,97,,이지원,영화사 배
20180523,스타 이즈 본,A Star Is Born,,15세이상관람가,20181009,135,,브래들리 쿠퍼,워너브러더스 코리아(주)
20189123,곰돌이 푸 다시 만나 행복해,Christopher Robin,,전체관람가,20181003,103,,마크 포스터,월트디즈니컴퍼니코리아 유한책임회사
20176122,안시성,The Great Battle,安市城,12세이상관람가,20180919,135,,김광식,(주)영화사수작
20184678,배반의 장미,Too Hot to Die,,15세이상관람가,20181018,98,,박진영,(주)태원엔터테인먼트
20187521,펭귄 하이웨이,Penguin Highway,ペンギン・ハイウェイ,전체관람가,20181018,117,,이시다 히로야스,(주)넥스트엔터테인먼트월드(NEW)
20180628,액슬,A-X-L,,12세이상관람가,20181018,98,,올리버 달리,(주)팝엔터테인먼트
20179189,암수살인,Dark Figure of Crime,暗數殺人,15세이상관람가,20181003,109,,김태균,(주)필름295
20177221,베놈,Venom,,15세이상관람가,20181003,107,,루벤 플레셔,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
20176122,안시성,The Great Battle,安市城,12세이상관람가,20180919,135,,김광식,(주)영화사수작
20189067,미쓰백,Miss Baek,,15세이상관람가,20181011,97,,이지원,영화사 배
20189123,곰돌이 푸 다시 만나 행복해,Christopher Robin,,전체관람가,20181003,103,,마크 포스터,월트디즈니컴퍼니코리아 유한책임회사
20180523,스타 이즈 본,A Star Is Born,,15세이상관람가,20181009,135,,브래들리 쿠퍼,워너브러더스 코리아(주)
20180770,다이노 어드벤처2: 육해공 공룡 대백과,Planet Dinosaur,,전체관람가,20181009,71,,마이크 데블린,(주)박수엔터테인먼트
20189462,셜록 놈즈,Sherlock Gnomes,,전체관람가,20181003,86,,존 스티븐슨,씨네그루(주)키다리이엔티
20177308,협상,THE NEGOTIATION,,15세이상관람가,20180919,114,,이종석,(주)제이케이필름
20188661,에브리데이,EVERY DAY,,12세이상관람가,20181011,97,,마이클 수지,그린나래미디어(주)
20177221,베놈,Venom,,15세이상관람가,20181003,107,,루벤 플레셔,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
20179189,암수살인,Dark Figure of Crime,暗數殺人,15세이상관람가,20181003,109,,김태균,(주)필름295
20176122,안시성,The Great Battle,安市城,12세이상관람가,20180919,135,,김광식,(주)영화사수작
20189123,곰돌이 푸 다시 만나 행복해,Christopher Robin,,전체관람가,20181003,103,,마크 포스터,월트디즈니컴퍼니코리아 유한책임회사
20177308,협상,THE NEGOTIATION,,15세이상관람가,20180919,114,,이종석,(주)제이케이필름
20172204,명당,FENGSHUI,,12세이상관람가,20180919,126,,박희곤,(주)주피터필름
20167903,원더풀 고스트,THE SOUL-MATE,,12세이상관람가,20180926,96,,조원희,(주)데이드림엔터테인먼트
20189462,셜록 놈즈,Sherlock Gnomes,,전체관람가,20181003,86,,존 스티븐슨,씨네그루(주)키다리이엔티
20189262,더 넌,The Nun,,15세이상관람가,20180919,96,,코린 하디,워너브러더스 코리아(주)
20185046,서치,Searching,,12세이상관람가,20180829,102,,아니쉬 차간티,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
20176122,안시성,The Great Battle,安市城,12세이상관람가,20180919,135,,김광식,(주)영화사수작
20172204,명당,FENGSHUI,,12세이상관람가,20180919,126,,박희곤,(주)주피터필름
20177308,협상,THE NEGOTIATION,,15세이상관람가,20180919,114,,이종석,(주)제이케이필름
20189262,더 넌,The Nun,,15세이상관람가,20180919,96,,코린 하디,워너브러더스 코리아(주)
20167903,원더풀 고스트,THE SOUL-MATE,,12세이상관람가,20180926,96,,조원희,(주)데이드림엔터테인먼트
20185046,서치,Searching,,12세이상관람가,20180829,102,,아니쉬 차간티,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
20188304,극장판 요괴워치 섀도사이드: 도깨비왕의 부활,Yo-Kai Watch 4,映画　妖怪ウォッチ　シャドウサイド　鬼王の復活,전체관람가,20180920,103,,우시로 신지,씨제이이앤엠(주)
20189268,루이스,Luis and the Aliens,,전체관람가,20180920,85,,울프강 라우엔슈타인,(주)스마일이엔티
20180167,에그엔젤 코코밍: 두근두근 핼러윈 파티,,,전체관람가,20180922,68,,닛타 노리오,(주)엠제이픽쳐스
20189746,극장판 뽀잉: 슈퍼 변신의 비밀,"Boing, The Secret of Super Transformation",,전체관람가,20180920,72,,정미화,(주)크레이지버드스튜디오
20176122,안시성,The Great Battle,安市城,12세이상관람가,20180919,135,,김광식,(주)영화사수작
20172204,명당,FENGSHUI,,12세이상관람가,20180919,126,,박희곤,(주)주피터필름
20177308,협상,THE NEGOTIATION,,15세이상관람가,20180919,114,,이종석,(주)제이케이필름
20189262,더 넌,The Nun,,15세이상관람가,20180919,96,,코린 하디,워너브러더스 코리아(주)
20185046,서치,Searching,,12세이상관람가,20180829,102,,아니쉬 차간티,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
20156554,물괴,Monstrum,,15세이상관람가,20180912,105,,허종호,(주)태원엔터테인먼트
20188304,극장판 요괴워치 섀도사이드: 도깨비왕의 부활,Yo-Kai Watch 4,映画　妖怪ウォッチ　シャドウサイド　鬼王の復活,전체관람가,20180920,103,,우시로 신지,씨제이이앤엠(주)
20153446,너의 결혼식,On Your Wedding Day,,12세이상관람가,20180822,110,,이석근,(주)필름케이
20189268,루이스,Luis and the Aliens,,전체관람가,20180920,85,,울프강 라우엔슈타인,(주)스마일이엔티
20188581,더 프레데터,The Predator,,청소년관람불가,20180912,107,,쉐인 블랙,이십세기폭스코리아(주)
20185046,서치,Searching,,12세이상관람가,20180829,102,,아니쉬 차간티,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
20156554,물괴,Monstrum,,15세이상관람가,20180912,105,,허종호,(주)태원엔터테인먼트
20153446,너의 결혼식,On Your Wedding Day,,12세이상관람가,20180822,110,,이석근,(주)필름케이
20188581,더 프레데터,The Predator,,청소년관람불가,20180912,107,,쉐인 블랙,이십세기폭스코리아(주)
20189362,업그레이드,UPGRADE,,15세이상관람가,20180906,100,,리 워넬,유니버설픽쳐스인터내셔널 코리아(유)
20177537,상류사회,High Society,,청소년관람불가,20180829,119,,변혁,(주)하이브미디어코프
20181942,맘마미아!2,MAMMA MIA! HERE WE GO AGAIN,,12세이상관람가,20180808,113,,올 파커,유니버설픽쳐스인터내셔널 코리아(유)
20186202,신과함께-인과 연,Along with the Gods: The Last 49 Days,,12세이상관람가,20180801,141,,김용화,리얼라이즈픽쳐스(주)
20179101,공작,The Spy Gone North,,12세이상관람가,20180808,137,,윤종빈,(주)영화사 월광
20176122,안시성,The Great Battle,安市城,12세이상관람가,20180919,135,,김광식,(주)영화사수작
20185046,서치,Searching,,12세이상관람가,20180829,102,,아니쉬 차간티,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
20153446,너의 결혼식,On Your Wedding Day,,12세이상관람가,20180822,110,,이석근,(주)필름케이
